Ime,Priljubljenost,Cena [£],Vrsta,Podjetje,Avtor,Jezik,Število vzorcev,Število strani,Raven znanja 
Chick,2462,0.00,Toys,Independent Designer,Carolyne Brodie,English,1,,Intermediate
Rainbow Boat Neck Top - Free Crochet Pattern For Women in Paintbox Yarns Simply DK,2463,0.00,Tops,Paintbox Yarns,Paintbox Yarns,English,1,5,Intermediate
Isla the Little Doll,2464,0.00,Toys,Independent Designer,Cara Engwerda,English,1,8,Intermediate
Hanging plant holder,2465,0.00,Homeware,Independent Designer,Luna Crochet Designs,English,1,3,Beginner
Dinosaur Beanie,2466,0.00,Accessories,Independent Designer,Crafty Creations,English,1,9,Beginner
Grapes in Lily Sugar 'n Cream Solids - Downloadable PDF,2467,0.00,Decorations,Lily Sugar 'n Cream,,English,2,1,Beginner
Cushion Crochet in Hoooked Ribbon XL Solids,2468,0.00,Cushions,Hoooked,,Dutch|English|German,1,3,Beginner
Braided Bag in Cascade Yarns Sarasota Chunky - C354 - Downloadable PDF,2469,0.00,Braided Bag in Cascade Yarns Sarasota Chunky - C354 - Downloadable PDF,Cascade Yarns,Kristen Stoltzfus Clay,English,1,4,Beginner
Pips the Pumpkin - Free Toy Crochet Pattern For Halloween in Paintbox Yarns Cotton Aran by Paintbox Yarns,2470,0.00,Toys,Paintbox Yarns,,English,1,4,Intermediate
Reversible Mini Octopus,2471,0.00,Toys,Independent Designer,Crossmanknits,English,1,5,Beginner
Jeanne Halter Top in Rowan Summerlite 4 Ply - ROC007 - Downloadable PDF,2472,0.00,Tops,Rowan,Jennie Atkinson,English|German,1,5,Advanced
Neutral Blanket,2473,0.00,Homeware,Independent Designer,Time to Yarn Me Up,English,1,,Beginner
Boat Neck Pullover in Patons Glam Stripes - Downloadable PDF,2474,0.00,Sweaters,Patons US,,English,1,2,Beginner
Puppy dog friend,2475,0.00,Toys,Independent Designer,Elise Mann,English,1,,Beginner
Heart Plant,2476,0.00,Homeware,Independent Designer,Yarn Blossom Boutique,English,1,3,Intermediate
Moose Unicorn,2477,0.00,Toys,Independent Designer,Carolyne Brodie,English,1,,Intermediate
Photo camera,2478,0.00,Photo camera,Independent Designer,Ternura Amigurumi,English,1,5,Intermediate
Starlight Baby Blanket in Caron Simply Soft Light - Downloadable PDF,2479,0.00,Blankets,Caron,Susan Lowman,English,1,3,Intermediate
Lacy Shells Baby Hat in Bernat Dippity Dots,2480,0.00,Hats,Bernat,,English,1,,
No Face Amigurumi,2481,0.00,Toys,Independent Designer,Crochethea,English,1,3,Beginner
Sonic scarf,2482,0.00,Accessories,Independent Designer,Amiville,English,1,5,Beginner
Expanding Flower Blanket,2483,0.00,Homeware,Independent Designer,The Crochet Fix,English,1,,Intermediate
Generic Tunisian Crocheted Computer Sleeve Pattern,2484,0.00,Homeware,Independent Designer,Maria Magnusson,English,1,,Intermediate
Patch Doll Amigurumi Pattern,2485,0.00,Toys,Independent Designer,Irene Strange,English,1,,Intermediate
Granny V Stitch Cat Blanket,2486,0.00,Homeware,Independent Designer,patternandcraft,English,1,12,Beginner
Girl's Crochet Poncho in Bernat Pop! - Downloadable PDF,2487,0.00,Ponchos,Bernat,,English,1,1,Beginner
Pikachu Head Amigurumi,2488,0.00,Toys,Independent Designer,Crochethea,English,1,2,Beginner
Lightning Feather Poncho CAL,2489,0.00,Ponchos,Independent Designer,Susan Kennedy,English,1,6,Intermediate
Shawl with Crochet Edge in Schachenmayr Wool 85 - S9200A - Downloadable PDF,2490,0.00,Shawls,Schachenmayr,,Dutch|English|French|German,1,3,
Baskets in Schachenmayr Journey - S8958 - Downloadable PDF,2491,0.00,Baskets in Schachenmayr Journey - S8958 - Downloadable PDF,Schachenmayr,,Dutch|English|French|German,2,2,
Feel Good Granny Square Tank - Free Crochet Pattern for Women in Paintbox Yarns Wool Blend DK by Paintbox Yarns,2492,0.00,Granny squares,Paintbox Yarns,,English,1,5,Beginner
Baby's Blocks in Lily Sugar 'n Cream Solids,2493,0.00,Accessories,Lily Sugar 'n Cream,,English,3,,
Marseille Cardigan in Berroco Vintage DK - Downloadable PDF,2494,0.00,Cardigans,Berroco,Robyn Chachula,English,1,11,Intermediate
Crochet Chevron Lace shawl,2495,0.00,Accessories,Independent Designer,Emma Wright,English,1,2,Beginner
Shaina The Sheep,2496,0.00,Cushions,Independent Designer,Purple Tulip,English,1,6,Beginner
Sweet Bunny Hat in Red Heart Soft - LW4393EN - Downloadable PDF,2497,0.00,Hats,Red Heart,Salena Baca,English,1,2,Beginner
Ladies’ Sweater with Lace Pattern and Crochet Scarf in Schachenmayr Sun City - 6051 - Downloadable PDF,2498,0.00,Jumpers,Schachenmayr,,English|German,2,2,
Mini plush chicken in basket,2499,0.00,Mini plush chicken in basket,Independent Designer,Tory Pale,English|French|German|Spanish,1,28,Intermediate
Carnival Socks in Cascade Yarns Fixation - DK412 - Downloadable PDF,2500,0.00,Socks,Cascade Yarns,Brenda K. B. Anderson,English,1,7,Intermediate
Mini Turtle,2501,0.00,Toys,Independent Designer,Annemarie Benthem,English,1,4,Beginner
Granny Block Baby Blanket,2502,0.00,Homeware,Independent Designer,Hannah Cross,English,1,3,Intermediate
Mini Christmas Stockings,2503,0.00,Homeware,Independent Designer,Stitching Siobhan,English,1,2,Intermediate
Circle Your Granny - 10 inch block,2504,0.00,Circle Your Granny - 10 inch block,Independent Designer,Keep Calm and Crochet On UK,English,1,,Beginner
Christening Gown and Bonnet in Schachenmayr Suavel - S9080 - Downloadable PDF,2505,0.00,Dresses,Schachenmayr,,English|German,1,6,
Remembrance Poppy - Flower Crochet Pattern,2506,0.00,Remembrance Poppy - Flower Crochet Pattern,Independent Designer,Peach.Unicorn,English,1,2,Beginner
Plaid-y Hook Caddy in Lily Sugar 'n Cream Solids,2507,0.00,Accessories,Lily Sugar 'n Cream,,English,1,,
Crochet Mood Blanket - October,2508,0.00,Crochet Mood Blanket - October,Independent Designer,Patricia  Stuart,English,1,4,Beginner
Chipmunk,2509,0.00,Toys,Independent Designer,Carolyne Brodie,English,1,,Intermediate
Water bottle holder,2510,0.00,Accessories,Independent Designer,Kelly Spenhoff,English,1,,Beginner
Amigurumi Unicorn Keychain,2511,0.00,Toys,Independent Designer,Ljubomir Kostin,English,1,6,Intermediate
The Gift Poncho in Caron Simply Soft and Simply Soft Heathers - Downloadable PDF,2512,0.00,Ponchos,Caron,Dee Neer,English,1,3,Beginner
Crochet Blanket in Bernat Pipsqueak,2513,0.00,Blankets,Bernat,,English,1,,
"""The Essential Crocheted Shawl"" - Shawl Crochet Pattern in Paintbox Yarns Chunky Pots",2514,0.00,Accessories,Paintbox Yarns,Paintbox Yarns,English,1,,Beginner
"Mini Christmas Hat, Santa hat ornament",2515,0.00,"Mini Christmas Hat, Santa hat ornament",Independent Designer,AmigurumiJoys,English,1,,Beginner
Huntington Carryall in Lion Brand Hue & Me - M20283-TWH - Downloadable PDF,2516,0.00,Huntington Carryall in Lion Brand Hue & Me - M20283-TWH - Downloadable PDF,Lion Brand,Two of Wands,English,1,6,Beginner
トマト Tomato Amigurumi,2517,0.00,Toys,Independent Designer,anniegurumi,English,1,5,Intermediate
Easy Children's Hat,2518,0.00,Accessories,Independent Designer,Sarah Thompson,English,1,,Beginner
"Big Rainbow Fish Toy in Caron Simply Soft, Simply Soft Paints & Simply Soft Brites - Downloadable PDF",2519,0.00,Toys,Caron,Deb Richey,English,1,3,Beginner
Spiral Rings,2520,0.00,Homeware,Independent Designer,Laurinda Reddig,English,1,3,Intermediate
Jovana Gilet in Adriafil Snappy Ball - Downloadable PDF,2521,0.00,Jackets,Adriafil,,English,1,2,
Wiener Dog,2522,0.00,Wiener Dog,Independent Designer,Annemarie Benthem,English,1,5,Intermediate
"Lola Llama in Lion Brand  Feels Like Butta, Go For Faux & Just My Stripe - Downloadable PDF",2523,0.00,Toys,Lion Brand,Lion Brand,English,1,6,Beginner
Rudolph the Reindeer - Free Toy Crochet Pattern For Christmas in Paintbox Yarns Cotton Aran by Paintbox Yarns,2524,0.00,Toys,Paintbox Yarns,Ilaria Caliri,English,1,5,Beginner
Ripple As You Go,2525,0.00,Accessories,Independent Designer,Amanda Mannas,English,1,15,Intermediate
Athelas Coaster,2526,0.00,Homeware,Independent Designer,K.A.M.E. Crochet,English,1,12,Intermediate
"""The Essential Crocheted Cowl"" - Free Cowl Crochet Pattern in Paintbox Yarns Chunky Pots",2527,0.00,Accessories,Paintbox Yarns,Paintbox Yarns,English,1,,Intermediate
Stewie Griffin from Family Guy,2528,0.00,Toys,Independent Designer,Flying Dutchman Crochet Design,English,1,,Beginner
Striped Tank Top - Free Crochet Pattern for Women in Paintbox Yarns 100% Wool Chunky Superwash by Paintbox Yarns in Paintbox Yarns - Downloadable PDF,2529,0.00,Sweaters,Paintbox Yarns,,English,1,6,Intermediate
Haiti Top in Adriafil Cheope - Downloadable PDF,2530,0.00,Tops,Adriafil,,English,1,1,
Summer dress trio,2531,0.00,Dresses,Independent Designer,Annastasia  Cruz,English,1,,Intermediate
Happy Days Mandala,2532,0.00,Homeware,Independent Designer,Knothing Usual,English,1,5,Intermediate
Crochet snowflake 36,2533,0.00,Homeware,Independent Designer,Olga Starostina,English,1,9,Beginner
Baby Walrus Wally,2534,0.00,Toys,Independent Designer,Haakneus,Dutch|English,1,10,Beginner
Easy Doll Dress,2535,0.00,Toys,Independent Designer,IIX Farm Creations,English,1,2,Intermediate
Petunia Part 1,2536,0.00,Cushions,Independent Designer,Crochet a Life,English,1,29,Intermediate
Mon Scarf,2537,0.00,Accessories,Independent Designer,Crochet Dahlia,English,1,2,Beginner
Crocodile,2538,0.00,Toys,Independent Designer,Annemarie Benthem,English,1,7,Intermediate
"Frog Coaster,Crochet Coasters,Crochet Frog,Crochet Animals,Crochet Patterns for Beginners",2539,0.00,Homeware,Independent Designer,Kathy Leung,English,1,5,Beginner
Soft Sage Circle Jacket in Caron Simply Soft - Downloadable PDF,2540,0.00,Jackets,Caron,Doris J. Chan,English,1,5,Intermediate
Crochet pattern for Burger,2541,0.00,Toys,Independent Designer,amigoll9,English,1,7,Beginner
Trinidad Skirt in Adriafil Uno A Ritorto 5 - Downloadable PDF,2542,0.00,Trinidad Skirt in Adriafil Uno A Ritorto 5 - Downloadable PDF,Adriafil,,English,1,1,
Birthday Bear for a Prince in Red Heart Soft and Soft Baby Steps - LW4389EN - Downloadable PDF,2543,0.00,Toys,Red Heart,Michele Wilcox,English,1,2,Beginner
Lipari Sandals in Adriafil Uno A Ritorto 8 - Downloadable PDF,2544,0.00,Booties,Adriafil,,English,2,1,
Basic Beanie (US),2545,0.00,Accessories,Independent Designer,SezzArt,English,1,,Beginner
Loopy Phone Wristlet,2546,0.00,Accessories,Independent Designer,Misty Makes Designs,English,1,,Beginner
Marietta Bookmarks in Berroco Folio - Downloadable PDF,2547,0.00,Accessories,Berroco,Alison Green,English,3,4,Intermediate
Granny Slippers in Bernat Super Value,2548,0.00,Accessories,Bernat,,English,2,,
Granny Squares Hat in Lion Brand Mandala Ombre - M23053 MDO - Downloadable PDF,2549,0.00,Granny squares,Lion Brand,Lion Brand,English,1,5,Beginner
Brigida Pullover in Adriafil Venezia - Downloadable PDF,2550,0.00,Tops,Adriafil,,English,1,4,
Frog,2551,0.00,Toys,Independent Designer,Annemarie Benthem,English,1,7,Intermediate
Lion Amigurumi,2552,0.00,Toys,Independent Designer,Amanda Maciel,English,1,,Beginner
2 in 1 Bundle Avocado & Peas in Pod Key Chains,2553,0.00,2 in 1 Bundle Avocado & Peas in Pod Key Chains,Independent Designer,Roxy's Crochet,English|German,1,8,Intermediate
Granny square blanket,2554,0.00,Homeware,Independent Designer,Crochet by Gem,English,1,9,Beginner
For the Frill of it Cardigan - Free Crochet Pattern For Babies in Paintbox Yarns Baby DK Prints by Paintbox Yarns,2555,0.00,Cardigans,Paintbox Yarns,,English,1,5,Intermediate
Crochet Bowling Ball and Pin,2556,0.00,Toys,Independent Designer,Craft Bindings,English,1,6,Intermediate
Solid granny square,2557,0.00,Solid granny square,Independent Designer,Luna Crochet Designs,English,1,3,Beginner
Mesh Mobile Phone Bag,2558,0.00,Accessories,Independent Designer,Tory Pale,English|French|German,1,30,Intermediate
Small Butterfly Baby Blanket,2559,0.00,Homeware,Independent Designer,Peach.Unicorn,English,1,4,Beginner
Summer Breeze Baby Blanket in Bernat Vickie Howell Cotton-ish - Downloadable PDF,2560,0.00,Blankets,Bernat,Vickie Howell,English,1,1,Beginner
Easy Crochet Patterns for Beginners Ebook - Free Pattern for Women by Paintbox Yarns,2561,0.00,Easy Crochet Patterns for Beginners Ebook - Free Pattern for Women by Paintbox Yarns,Paintbox Yarns,Paintbox Yarns,English,3,20,Beginner
Sheep Etu,2562,0.00,Toys,Independent Designer,Apuuga,English,1,4,Intermediate
Twinkle Turtle Ornaments,2563,0.00,Toys,Independent Designer,Rupinder  Kaur,English,1,6,Beginner
Carefree Cardigan - Free Crochet Pattern for Women in Paintbox Yarns Chenille by Paintbox Yarns,2564,0.00,Cardigans,Paintbox Yarns,Paintbox Yarns,English,1,10,Intermediate
Owl glasses holder,2565,0.00,Homeware,Independent Designer,Zebrasaysmoocrafts,English,1,,Beginner
Gathering Leaves Cardigan in Caron Simply Soft Light - Downloadable PDF,2566,0.00,Cardigans,Caron,,English,1,3,Intermediate
Jellyfish,2567,0.00,Toys,Independent Designer,Sarah Quillen,English,1,,Beginner
Crochet Diagonal Pattern Baby Blanket in Lion Brand Homespun,2568,0.00,Blankets,Lion Brand,,English,1,,
Cherry Pie Hot Pad in Lily Sugar 'n Cream Solids,2569,0.00,Accessories,Lily Sugar 'n Cream,,English,1,,
Shine Like Diamonds in Patons Lace Sequin - Downloadable PDF,2570,0.00,Scarves & Shawls,Patons US,,English,1,2,Intermediate
Rose Of Sharon Tunic in Caron Simply Soft - Downloadable PDF,2571,0.00,Tops,Caron,Mary E. Nolfi,English,1,6,Intermediate
Daisy Bouquet in Lily Sugar 'n Cream Solids,2572,0.00,Accessories,Lily Sugar 'n Cream,,English,1,,
Ribbed Rascal Hat,2573,0.00,Hats,Independent Designer,Charlotte Marjoribanks,English,1,,Beginner
Quirky Pixellate Dress - Free Crochet Pattern For Women in Paintbox Yarns Simply Aran,2574,0.00,Dresses,Paintbox Yarns,,English,1,5,Intermediate
Chubby seal,2575,0.00,Toys,Independent Designer,Carolyne Brodie,English,1,,Intermediate
Santorini Bracelet,2576,0.00,Accessories,Independent Designer,isWoolish,English,1,,Beginner
Easter Chick,2577,0.00,Toys,Independent Designer,The Woobles,English,1,,Beginner
Cluster Coasters,2578,0.00,Homeware,Independent Designer,Chezpascale,English,1,1,Intermediate
Elegant Wrap in Cascade Alpaca Lace - FW154,2579,0.00,Shawls,Cascade Yarns,,English,1,3,Advanced Beginner
Empty Granny Square for Floral Collection,2580,0.00,Empty Granny Square for Floral Collection,Independent Designer,madebylisek,English,1,,Beginner
Turtle hair tie,2581,0.00,Headbands,Independent Designer,LoveyCrochetPatterns,English,1,8,Beginner
The Sassy Scrappy Beanie,2582,0.00,The Sassy Scrappy Beanie,Independent Designer,Off The Hook Creative Carmen,English,1,12,Intermediate
Pickles the pterodactyl,2583,0.00,Toys,Independent Designer,Carolyne Brodie,English,1,,Intermediate
Dip Edge Striped Crochet Basket in Bernat Blanket - Downloadable PDF,2584,0.00,Dip Edge Striped Crochet Basket in Bernat Blanket - Downloadable PDF,Bernat,Bernat Design Team,English,1,2,Beginner
Plain Granny Square for Floral Collection,2585,0.00,Plain Granny Square for Floral Collection,Independent Designer,madebylisek,English,1,,Beginner
Crocheted Shawl in King Cole Curiosity DK - E1001 - Downloadable PDF,2586,2.99,Shawls,King Cole,Melissa Leapman,English,1,2,Beginner
Rows o' Ruffles Dress in Caron Simply Soft and Simply Soft Brites - Downloadable PDF,2587,0.00,Dresses,Caron,Treva McCain,English,2,5,Beginner
Mini Sunflower Applique,2588,0.00,Mini Sunflower Applique,Independent Designer,Hookfully,English,1,2,Beginner
Crochet Pattern Whale Mare!,2589,0.00,Toys,Independent Designer,amigoll9,English,1,5,Beginner
Lazy Dog,2590,2.22,Toys,Independent Designer,HannahsDreamShoppe,English,1,,Beginner
Collecting Dust Blanket,2591,0.00,Homeware,Independent Designer,betsymakes,English,1,5,Beginner
Donald the Elephant,2592,0.00,Toys,Independent Designer,Jennifer Beal,English,1,3,Intermediate
Rich Textures Tote Bag in Lily Sugar 'n Cream Solids - Downloadable PDF,2593,0.00,Rich Textures Tote Bag in Lily Sugar 'n Cream Solids - Downloadable PDF,Lily Sugar 'n Cream,,English,1,3,Intermediate
Starfish star,2594,0.00,Toys,Independent Designer,FollowThe Yarn,English,1,3,Beginner
Coin Purse,2595,0.00,Accessories,Independent Designer,Just Be Happy Crochet,English,1,,Beginner
Doodle Zoo 3: Finlay the Frog,2596,0.00,Toys,Independent Designer,Keep Calm and Crochet On UK,English,1,,Beginner
Blue the dumbo octopus,2597,0.00,Toys,Independent Designer,Carolyne Brodie,English,1,,Intermediate
LE CROISSANT,2598,0.00,Homeware,Independent Designer,paulastrickt,German,1,,Intermediate
Crochet Quick and Easy Fingerless Gloves,2599,0.00,Accessories,Independent Designer,Codi Hudnall,English,1,5,Beginner
Silent Night in West Yorkshire Spinners - FP0008 - Downloadable PDF,2600,0.00,Socks,West Yorkshire Spinners,Winwick Mum,English,1,,Intermediate
Mini Basket - US Terminology,2601,0.00,Homeware,Independent Designer,Merrian Holland,English,1,4,Beginner
Osyth Square,2602,0.00,Osyth Square,Independent Designer,Jacqui Goulbourn,English,1,3,Intermediate
Pacific Sport Patchwork Baby Blanket in Cascade Yarns - DK578 - Downloadable PDF,2603,0.00,Blankets,Cascade Yarns,Kristen Stoltzfus Clay,English,1,3,Beginner
Neapolitan Ice Cream Granny Square Poncho,2604,0.00,Ponchos,Independent Designer,Miss Polly Crochet by PaulaR,English,1,8,Intermediate
Pixie Hooded Scarf,2605,0.00,Accessories,Independent Designer,Michele C,English,1,,Beginner
Sweet Posy Mandala,2606,0.00,Homeware,Independent Designer,Zoe Ellison,English,1,,Intermediate
Hazel the Little Doll,2607,0.00,Toys,Independent Designer,Cara Engwerda,English,1,7,Intermediate
Rainbow Pride Cardigan Crochet Pattern,2608,0.00,Cardigans,Independent Designer,The Crocheting,English,1,5,Beginner
Cool Poncho in Bernat Satin,2609,0.00,Ponchos,Bernat,,English,1,,
Mini ghost,2610,0.00,Toys,Independent Designer,Carolyne Brodie,English,1,,Intermediate
Butterfly Garden Fingerless Gloves,2611,0.00,Accessories,Independent Designer,Amanda Maciel,English,1,,Beginner
Bella the Bat,2612,0.00,Toys,Independent Designer,Carolyne Brodie,English,1,,Intermediate
Free Flow,2613,0.00,Homeware,Independent Designer,Sarah Athey,English,1,,Beginner
Angry Puffer Fish,2614,0.00,Toys,Independent Designer,Carolyne Brodie,English,1,,Intermediate
Bumble Blossom Marigold Amigurumi Crochet Pattern,2615,0.00,Toys,Independent Designer,erinmaycrochet,English,1,13,Intermediate
Potted plant,2616,0.00,Toys,Independent Designer,Carolyne Brodie,English,1,,Intermediate
Aliz Bag,2617,0.00,Accessories,Independent Designer,K.A.M.E. Crochet,English,1,7,Intermediate
Striped Crochet Shirt in Schachenmayr Catania - S9018 - Downloadable PDF,2618,0.00,Tops,Schachenmayr,,Dutch|English|French|German,1,3,
Wicked Good Thong Bikini crochet pattern,2619,0.00,Wicked Good Thong Bikini crochet pattern,Independent Designer,Sandi Hagan,English,1,,
Crochet Wisteria  Flower Curls,2620,0.00,Homeware,Independent Designer,Chloe and Kato Crochet Designs,English,1,2,Beginner
Stars,2621,0.00,Homeware,Independent Designer,Annemarie Benthem,English,1,,Intermediate
"Flower Power Bookmark, Headband or Bracelet",2622,0.00,Accessories,Independent Designer,Lilinette Crochet,English,1,,Intermediate
Helga Socks in West Yorkshire Spinners - WYS1000282 / DFP0035 - Downloadable PDF,2623,0.00,Socks,West Yorkshire Spinners,Anna Nikipirowicz,English,2,20,Intermediate
Rat Hat,2624,0.00,Hats,Independent Designer,Rian Anderson,English,1,4,Beginner
Dalmatian Dog Amigurumi,2625,0.00,Toys,Independent Designer,Amanda Maciel,English,1,,Beginner
"Cute Summer Bag ""Candy""",2626,0.00,Accessories,Independent Designer,Alexandra Vocht,English|German,1,,Beginner
Wonderland Shrug,2627,0.00,Boleros,Independent Designer,Michele C,English,1,4,Beginner
Frosted Lace Snowflake,2628,0.00,Homeware,Independent Designer,Renata Saj,English|Swedish,1,,Beginner
Long Top with Lace in Schachenmayr Catania Color - 6652 - Downloadable PDF,2629,0.00,Tops,Schachenmayr,,English|German,1,2,
Ewa's Motif & Join - Crochet Block (US terms),2630,0.00,Homeware,Independent Designer,Merrian Holland,English,1,15,Intermediate
Friends Blanket,2631,0.00,Homeware,Independent Designer,Maggie Trunkhill,English,1,6,Intermediate
Baby Beluga Berto,2632,0.00,Toys,Independent Designer,Haakneus,Dutch|English,1,10,Beginner
Crochet Lavender,2633,0.00,Homeware,Independent Designer,Roseanna Murray,English,1,2,Beginner
"Semola, the Orange Cat",2634,0.00,Toys,Independent Designer,ChirpyCrochet,English,1,5,Beginner
Vintage Rainbow Mandala,2635,0.00,Homeware,Independent Designer,Crafty CC,English,1,8,Intermediate
Dream Time Motif Blanket in Bernat Baby Sport,2636,0.00,Accessories,Bernat,,English,2,,
Crochet Heart Motif,2637,0.00,Crochet Heart Motif,Independent Designer,Luba Davies,English,1,,Beginner
Sunflower Key Keeper,2638,0.00,Accessories,Independent Designer,betsymakes,English,1,6,Intermediate
Big Granny Square Blanket Square For Stocking in Caron United - Downloadable PDF,2639,0.00,Granny squares,Caron,,English,1,2,Beginner
Bow Tie Slippers in Caron Simply Soft - Downloadable PDF,2640,0.00,Slippers,Caron,,English,1,1,Beginner
Felicia the Fish,2641,0.00,Toys,Independent Designer,Annemarie Benthem,English,1,5,Beginner
Sun Hat in Lily Sugar 'n Cream Solids,2642,0.00,Hats,Lily Sugar 'n Cream,,English,1,,
"Crochet witch hat pattern, easy crochet Halloween keychain",2643,0.00,Toys,Independent Designer,AmigurumiJoys,English,1,3,Beginner
Häkelanleitung Amigurumi Kirbi,2644,0.00,Toys,Independent Designer,amigoll9,German,1,6,Beginner
Doodle Zoo 4: Ezra the Elephant,2645,0.00,Toys,Independent Designer,Keep Calm and Crochet On UK,English,1,,Beginner
Schönes Häkelanleitung für Kätzchen,2646,0.00,Schönes Häkelanleitung für Kätzchen,Independent Designer,Ternura Amigurumi,German,1,7,Intermediate
Coin Purse with Button - US Version,2647,0.00,Accessories,Independent Designer,Merrian Holland,English,1,6,Beginner
Crochet Pattern for easy coaster,2648,0.00,Homeware,Independent Designer,amigoll9,English,1,4,Beginner
Openwork Scarf in Caron Simply Soft Ombre - Downloadable PDF,2649,0.00,Scarves & Shawls,Caron,,English,1,1,Beginner
Lite 'n Bright Baby Blanket in Caron Simply Soft Brites - Downloadable PDF,2650,0.00,Blankets,Caron,Randy Cavaliere,English,1,2,Intermediate
Cow Dishcloth in Lily Sugar 'n Cream Solids,2651,0.00,Accessories,Lily Sugar 'n Cream,,English,1,,
Safe Worry Worm,2652,0.00,Toys,Independent Designer,Luna Crochet Designs,English,1,1,Beginner
"""The Essential Crocheted Wristwarmers"" - Free Accessory Crochet Pattern in Paintbox Yarns Chunky Pots",2653,0.00,Accessories,Paintbox Yarns,Paintbox Yarns,English,1,5,Intermediate
Crochet Espresso Cup Pair,2654,0.00,Toys,Independent Designer,MelonCrochetShop,English,1,,Beginner
La Jolla Cove Jacket - Free Crochet Pattern For Women in Paintbox Yarns Cotton DK and Metallics DK,2655,0.00,Jackets,Paintbox Yarns,,English,1,6,Intermediate
Octopus Comforter,2656,0.00,Toys,Independent Designer,Donna Wilkins,English,1,,Beginner
Ruby Lace Hat & Scarf in West Yorkshire Spinners - WYS1000284/ DFP0037 - Downloadable PDF,2657,0.00,Cowls,West Yorkshire Spinners,Anna Nikipirowicz,English,2,5,Beginner
Share the Love - Premmie Beanie,2658,0.00,Hats,Independent Designer,Annie Penrose,English,1,4,Beginner
Sakura mandala,2659,0.00,Homeware,Independent Designer,Gava Crochet,English,1,6,Beginner
"Crochet Beach Skirt, Shawl, or Scarf",2660,0.00,"Crochet Beach Skirt, Shawl, or Scarf",Independent Designer,Emi Harrington,English,1,1,Beginner
Crochet pattern bookmark,2661,0.00,Homeware,Independent Designer,amigoll9,English,1,6,Beginner
Wavy Slipover - Free Top Crochet Pattern for Women in Paintbox Yarns Cotton DK,2662,0.00,Sweaters,Paintbox Yarns,,English,,4,Intermediate
"""Festi-Bobble Pouch"" -Bobble Pouch - Bag Crochet Pattern in Paintbox Yarns Cotton DK - COT-CRO-ACC-05",2663,0.00,"""Festi-Bobble Pouch"" -Bobble Pouch - Bag Crochet Pattern in Paintbox Yarns Cotton DK - COT-CRO-ACC-05",Paintbox Yarns,,English,1,5,Intermediate
Merlin Mouse,2664,0.00,Toys,Independent Designer,Carolyne Brodie,English,1,,Intermediate
Arc-en-ciel après l'orage,2665,0.00,Homeware,Independent Designer,Les Fibres Fantastiques,English|French,1,8,Intermediate
Pulcino Set in Adriafil Azzurra and Avantgarde - Downloadable PDF,2666,0.00,Blankets,Adriafil,,English,3,3,
Textured Grid Baby Blanket in Bernat Baby Sport,2667,0.00,Blankets,Bernat,,English,1,,
Comfy Bobble Afghan - Free Blanket Crochet Pattern For Home in Paintbox Yarns 100% Wool Worsted by Paintbox Yarns,2668,0.00,Blankets,Paintbox Yarns,,English,1,4,Intermediate
Raymond animal crossing,2669,0.00,Toys,Independent Designer,Ludasamigurumi,English,1,5,Intermediate
Bobby the Bee - Free Amigurumi Crochet Toy Pattern in Paintbox Yarns Simply DK,2670,0.00,Toys,Paintbox Yarns,Alison North,English,1,6,Intermediate
Cream Shawl in Adriafil New Zealand - Downloadable PDF,2671,0.00,Shawls,Adriafil,,English,1,1,
Crocheted Pineapple Top in Cascade Ultra Pima - DK246,2672,0.00,Sweaters,Cascade Yarns,Simona Merchant-Dest,English,1,,
Lola the Ladybird - Free Amigurumi Crochet Toy Pattern  in Paintbox Yarns Simply DK,2673,0.00,Toys,Paintbox Yarns,Alison North,English,1,6,Intermediate
Salt Lake Sweater in Lion Brand Basic Stitch Skein Tones - M20403 BSAP - Downloadable PDF,2674,0.00,Jumpers,Lion Brand,Tonja Pe Benito,English,1,3,Beginner
Mini Drawstring bag,2675,0.00,Accessories,Independent Designer,Cobbler's Cabin,English,1,4,Beginner
Trick or Treat Bags,2676,0.00,Accessories,Independent Designer,Spider Mambo,English,1,15,Intermediate
Gefilzte Katzenhöhle in Schachenmayr Wash and Filz-it and Multicolor - F0066 - Downloadable PDF,2677,0.00,Pet Bedding,Schachenmayr,,German,1,1,
Carlas Häkelbüdel,2678,0.00,Accessories,Independent Designer,Seute Wulldeern,English|German,1,12,Beginner
Crochet Flower basket,2679,0.00,Toys,Independent Designer,FollowThe Yarn,English,1,4,Beginner
Angel Ornament,2680,0.00,Homeware,Independent Designer,Many Creative Gifts,English,1,,Intermediate
Criss-cross Shawl,2681,0.00,Accessories,Independent Designer,Fay Dashper-Hughes,English,1,,Intermediate
Amigurumi Mini Bunny,2682,0.00,Toys,Independent Designer,Mevlinn Gusick,English,1,5,Intermediate
Crocheted Dog Keyring,2683,0.00,Accessories,Independent Designer,CatKnit,English,1,2,Intermediate
Sea Songs Conch Shell in Lily Sugar 'n Cream Solids - Downloadable PDF,2684,0.00,Decorations,Lily Sugar 'n Cream,,English,5,2,Beginner
Christmas Tree Skirt in Caron Simply Soft Heathers & Simply Soft - Downloadable PDF,2685,0.00,Decorations,Caron,Margret Willson,English,1,3,Intermediate
Eco Kitchen Cloth,2686,0.00,Homeware,Independent Designer,Julia Morozova,English,1,5,Beginner
